tweet_id,timestamp,source,text,rating_numerator,rating_denominator,name,dog_stage,jpg_url,p1,p2,p3,favorites,retweets,followers,retweeted_status
892420643555336193,2017-08-01 16:23:56,http://twitter.com/download/iphone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,13,10,Phineas,None ,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,orange,bagel,banana,39467,8853,3200889,Original tweet
892177421306343426,2017-08-01 00:17:27,http://twitter.com/download/iphone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",13,10,Tilly,None ,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,Chihuahua,Pekinese,papillon,33819,6514,3200889,Original tweet
891815181378084864,2017-07-31 00:18:03,http://twitter.com/download/iphone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12,10,Archie,None ,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,Chihuahua,malamute,kelpie,25461,4328,3200889,Original tweet
891689557279858688,2017-07-30 15:58:51,http://twitter.com/download/iphone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,13,10,Darla,None ,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,paper towel,Labrador retriever,spatula,42908,8964,3200889,Original tweet
891327558926688256,2017-07-29 16:00:24,http://twitter.com/download/iphone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",12,10,Franklin,None ,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,basset,English springer,German short-haired pointer,41048,9774,3200889,Original tweet
891087950875897856,2017-07-29 00:08:17,http://twitter.com/download/iphone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,13,10,None,None ,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,Chesapeake Bay retriever,Irish terrier,Indian elephant,20562,3261,3200889,Original tweet
890971913173991426,2017-07-28 16:27:12,http://twitter.com/download/iphone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",13,10,Jax,None ,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,Appenzeller,Border collie,ice lolly,12041,2158,3200889,Original tweet
890729181411237888,2017-07-28 00:22:40,http://twitter.com/download/iphone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,13,10,None,None ,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,Pomeranian,Eskimo dog,Pembroke,56848,16716,3200889,Original tweet
890609185150312448,2017-07-27 16:25:51,http://twitter.com/download/iphone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,13,10,Zoey,None ,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,Irish terrier,Irish setter,Chesapeake Bay retriever,28226,4429,3200889,Original tweet
890240255349198849,2017-07-26 15:59:51,http://twitter.com/download/iphone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,14,10,Cassie,doggo,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,Pembroke,Cardigan,Chihuahua,32467,7711,3200889,Original tweet
890006608113172480,2017-07-26 00:31:25,http://twitter.com/download/iphone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,13,10,Koda,None ,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,Samoyed,Pomeranian,chow,31166,7624,3200889,Original tweet
889880896479866881,2017-07-25 16:11:53,http://twitter.com/download/iphone,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,13,10,Bruno,None ,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,French bulldog,Labrador retriever,muzzle,28268,5156,3200889,Original tweet
889665388333682689,2017-07-25 01:55:32,http://twitter.com/download/iphone,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,13,10,None,puppo,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,Pembroke,Cardigan,basenji,38818,8538,3200889,Original tweet
889638837579907072,2017-07-25 00:10:02,http://twitter.com/download/iphone,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,12,10,Ted,None ,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,French bulldog,boxer,Staffordshire bullterrier,27672,4735,3200889,Original tweet
889531135344209921,2017-07-24 17:02:04,http://twitter.com/download/iphone,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,13,10,Stuart,puppo,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,golden retriever,Labrador retriever,redbone,15359,2321,3200889,Original tweet
889278841981685760,2017-07-24 00:19:32,http://twitter.com/download/iphone,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,13,10,Oliver,None ,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,whippet,borzoi,Saluki,25652,5637,3200889,Original tweet
888917238123831296,2017-07-23 00:22:39,http://twitter.com/download/iphone,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,12,10,Jim,None ,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,golden retriever,Tibetan mastiff,Labrador retriever,29611,4709,3200889,Original tweet
888804989199671297,2017-07-22 16:56:37,http://twitter.com/download/iphone,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,13,10,Zeke,None ,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,golden retriever,Labrador retriever,English setter,26080,4559,3200889,Original tweet
888554962724278272,2017-07-22 00:23:06,http://twitter.com/download/iphone,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,13,10,Ralphus,None ,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,Siberian husky,Eskimo dog,malamute,20290,3732,3200889,Original tweet
888078434458587136,2017-07-20 16:49:33,http://twitter.com/download/iphone,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,12,10,Gerald,None ,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,French bulldog,pug,bull mastiff,22201,3653,3200889,Original tweet
887705289381826560,2017-07-19 16:06:48,http://twitter.com/download/iphone,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,13,10,Jeffrey,None ,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,basset,redbone,Weimaraner,30779,5609,3200890,Original tweet
